item_category,pv_users,interested_users,buy_users,pv_to_interest_pct,interest_to_buy_pct,pv_to_buy_pct,lost_at_interest,lost_at_buy
1863,5995,2394,1631,39.93,68.13,27.21,3601,763
13230,5617,1548,1370,27.56,88.5,24.39,4069,178
5027,5497,1583,1289,28.8,81.43,23.45,3914,294
5399,5310,1628,1279,30.66,78.56,24.09,3682,349
6513,5281,1816,1390,34.39,76.54,26.32,3465,426
5894,5277,1619,1338,30.68,82.64,25.36,3658,281
5232,4967,1744,908,35.11,52.06,18.28,3223,836
11279,4712,1338,1022,28.4,76.38,21.69,3374,316
6000,4594,581,403,12.65,69.36,8.77,4013,178
2825,4551,1188,964,26.1,81.14,21.18,3363,224
10894,4521,1328,911,29.37,68.6,20.15,3193,417
4370,4513,1233,855,27.32,69.34,18.95,3280,378
6344,4151,1381,612,33.27,44.32,14.74,2770,769
3381,4151,779,542,18.77,69.58,13.06,3372,237
5689,4052,956,794,23.59,83.05,19.6,3096,162
11552,3981,832,513,20.9,61.66,12.89,3149,319
10392,3830,1038,659,27.1,63.49,17.21,2792,379
3628,3757,875,477,23.29,54.51,12.7,2882,398
14079,3584,948,686,26.45,72.36,19.14,2636,262
6054,3524,680,669,19.3,98.38,18.98,2844,11
1083,3465,800,520,23.09,65.0,15.01,2665,280
552,3386,747,469,22.06,62.78,13.85,2639,278
10533,3380,546,585,16.15,107.14,17.31,2834,-39
5503,3265,686,611,21.01,89.07,18.71,2579,75
3673,3207,726,378,22.64,52.07,11.79,2481,348
1838,3165,908,351,28.69,38.66,11.09,2257,557
6255,3127,575,435,18.39,75.65,13.91,2552,140
3472,3071,754,310,24.55,41.11,10.09,2317,444
3783,3060,665,482,21.73,72.48,15.75,2395,183
11824,3048,803,502,26.35,62.52,16.47,2245,301
