event_hour,event_weekday,total_actions,pv_count,cart_count,buy_count,fav_count,buy_rate_pct
0,0,30271,27006.0,1412.0,1505.0,348.0,4.97
1,0,15682,14082.0,690.0,791.0,119.0,5.04
2,0,8430,7572.0,413.0,371.0,74.0,4.4
3,0,5868,5227.0,315.0,285.0,41.0,4.86
4,0,4417,3931.0,274.0,198.0,14.0,4.48
5,0,5398,4753.0,299.0,278.0,68.0,5.15
6,0,8419,7597.0,368.0,364.0,90.0,4.32
7,0,15462,13922.0,730.0,656.0,154.0,4.24
8,0,21366,19168.0,991.0,934.0,273.0,4.37
9,0,27151,23763.0,1433.0,1374.0,581.0,5.06
10,0,33056,29008.0,2012.0,1309.0,727.0,3.96
11,0,33395,29243.0,1920.0,1437.0,795.0,4.3
12,0,34509,30550.0,1901.0,1326.0,732.0,3.84
13,0,39155,34277.0,2412.0,1604.0,862.0,4.1
14,0,36869,32417.0,2070.0,1550.0,832.0,4.2
15,0,38731,33978.0,2164.0,1724.0,865.0,4.45
16,0,35577,31620.0,1889.0,1325.0,743.0,3.72
17,0,30830,27327.0,1776.0,1139.0,588.0,3.69
18,0,33427,29963.0,1698.0,1160.0,606.0,3.47
19,0,46607,41878.0,2275.0,1710.0,744.0,3.67
20,0,61120,54824.0,3178.0,2237.0,881.0,3.66
21,0,70002,62559.0,3729.0,2713.0,1001.0,3.88
22,0,68696,61365.0,3963.0,2464.0,904.0,3.59
23,0,51837,46218.0,3102.0,1810.0,707.0,3.49
0,1,37641,34020.0,1747.0,1473.0,401.0,3.91
1,1,20399,18412.0,886.0,952.0,149.0,4.67
2,1,12411,11066.0,609.0,642.0,94.0,5.17
3,1,7185,6503.0,371.0,266.0,45.0,3.7
4,1,6319,5683.0,282.0,322.0,32.0,5.1
5,1,6812,6145.0,322.0,280.0,65.0,4.11
6,1,11675,10582.0,502.0,475.0,116.0,4.07
7,1,21436,19373.0,984.0,865.0,214.0,4.04
8,1,28648,25656.0,1452.0,1125.0,415.0,3.93
9,1,36393,32199.0,1896.0,1595.0,703.0,4.38
10,1,41287,36121.0,2396.0,1738.0,1032.0,4.21
11,1,40092,35178.0,2272.0,1665.0,977.0,4.15
12,1,41753,36743.0,2359.0,1615.0,1036.0,3.87
13,1,47175,41039.0,2827.0,2170.0,1139.0,4.6
14,1,46579,40964.0,2520.0,2095.0,1000.0,4.5
15,1,45745,40012.0,2741.0,1941.0,1051.0,4.24
16,1,44206,38956.0,2535.0,1795.0,920.0,4.06
17,1,39373,34857.0,2284.0,1537.0,695.0,3.9
18,1,40808,36488.0,2118.0,1541.0,661.0,3.78
19,1,56471,50372.0,3045.0,2098.0,956.0,3.72
20,1,72122,64588.0,3801.0,2640.0,1093.0,3.66
21,1,86286,77020.0,4656.0,3388.0,1222.0,3.93
22,1,84720,75456.0,4910.0,3220.0,1134.0,3.8
23,1,63862,56664.0,3729.0,2687.0,782.0,4.21
0,2,37514,33443.0,1777.0,1883.0,411.0,5.02
1,2,19615,17708.0,854.0,884.0,169.0,4.51
2,2,10358,9327.0,501.0,441.0,89.0,4.26
3,2,7574,6757.0,404.0,341.0,72.0,4.5
4,2,6364,5702.0,334.0,256.0,72.0,4.02
5,2,7165,6457.0,377.0,282.0,49.0,3.94
6,2,12184,10973.0,549.0,552.0,110.0,4.53
7,2,20177,18016.0,1042.0,866.0,253.0,4.29
8,2,29351,26353.0,1396.0,1142.0,460.0,3.89
9,2,36687,32492.0,1871.0,1608.0,716.0,4.38
10,2,41070,35955.0,2410.0,1728.0,977.0,4.21
11,2,40923,35790.0,2374.0,1827.0,932.0,4.46
12,2,41412,36428.0,2416.0,1604.0,964.0,3.87
13,2,45474,40007.0,2646.0,1759.0,1062.0,3.87
14,2,45275,39666.0,2777.0,1837.0,995.0,4.06
15,2,46799,41441.0,2547.0,1873.0,938.0,4.0
16,2,45233,39878.0,2413.0,1967.0,975.0,4.35
17,2,37922,33420.0,2043.0,1720.0,739.0,4.54
18,2,42880,38224.0,2208.0,1771.0,677.0,4.13
