first_date,new_users,day1_retained,day1_rate_pct,day7_retained,day7_rate_pct
2014-11-18,1516,778,51.32,1326,87.47
2014-11-19,721,250,34.67,571,79.2
2014-11-20,538,162,30.11,383,71.19
2014-11-21,347,89,25.65,238,68.59
2014-11-22,311,83,26.69,195,62.7
2014-11-23,290,50,17.24,169,58.28
2014-11-24,232,50,21.55,130,56.03
2014-11-25,203,30,14.78,106,52.22
2014-11-26,198,25,12.63,101,51.01
2014-11-27,173,27,15.61,90,52.02
2014-11-28,148,14,9.46,59,39.86
2014-11-29,142,21,14.79,70,49.3
2014-11-30,147,22,14.97,72,48.98
2014-12-01,156,26,16.67,68,43.59
2014-12-02,139,23,16.55,65,46.76
2014-12-03,127,18,14.17,58,45.67
2014-12-04,140,23,16.43,66,47.14
2014-12-05,100,16,16.0,40,40.0
2014-12-06,92,13,14.13,40,43.48
2014-12-07,108,15,13.89,45,41.67
2014-12-08,89,9,10.11,32,35.96
2014-12-09,85,17,20.0,41,48.24
2014-12-10,111,22,19.82,40,36.04
2014-12-11,109,23,21.1,43,39.45
2014-12-12,126,12,9.52,39,30.95
2014-12-13,76,12,15.79,27,35.53
2014-12-14,71,5,7.04,15,21.13
2014-12-15,68,9,13.24,13,19.12
2014-12-16,58,6,10.34,9,15.52
2014-12-17,58,6,10.34,6,10.34
2014-12-18,51,0,0.0,0,0.0
