user_id,recency,frequency,monetary,total_actions,cluster,cluster_label
98047837,1,28,2216.68,908,5,一般用户
97726136,1,8,658.87,327,1,高价值核心用户
98607707,1,15,884.0,684,1,高价值核心用户
98662432,5,0,0.0,19,3,一般用户
98145908,3,0,0.0,57,2,一般用户
93784494,1,20,1600.46,950,1,高价值核心用户
94832743,4,0,0.0,31,3,一般用户
95290487,1,0,0.0,407,1,高价值核心用户
96610296,7,0,0.0,203,3,一般用户
100684618,1,8,764.73,444,1,高价值核心用户
100509623,2,0,0.0,1393,2,一般用户
101781721,1,1,113.97,147,1,高价值核心用户
103891828,2,0,0.0,1081,2,一般用户
101260672,1,0,0.0,83,1,高价值核心用户
104811265,4,11,830.34,79,3,一般用户
103802946,1,30,1780.13,574,1,高价值核心用户
104221274,1,57,2888.25,2003,5,一般用户
110418606,10,0,0.0,22,3,一般用户
116730636,1,57,1704.19,662,5,一般用户
106230218,4,9,652.89,112,3,一般用户
103582986,1,0,0.0,754,1,高价值核心用户
106557109,1,1,165.08,1288,1,高价值核心用户
110253038,1,2,143.16,201,1,高价值核心用户
116678892,1,12,356.64,381,1,高价值核心用户
103898055,1,0,0.0,179,1,高价值核心用户
107874169,1,47,2231.9,1084,5,一般用户
11087331,2,1,166.03,85,2,一般用户
112296733,1,1,87.2,370,1,高价值核心用户
132252054,1,2,287.95,112,1,高价值核心用户
133088851,6,0,0.0,155,3,一般用户
119732530,5,0,0.0,140,3,一般用户
116071825,2,0,0.0,259,2,一般用户
112131404,1,0,0.0,133,1,高价值核心用户
135099670,1,0,0.0,146,1,高价值核心用户
120154530,2,1,217.25,200,2,一般用户
112707614,1,33,2000.07,700,5,一般用户
112561774,1,0,0.0,172,1,高价值核心用户
135157689,1,177,4349.35,1824,0,一般用户
117155106,3,1,217.25,327,2,一般用户
11268219,1,0,0.0,255,1,高价值核心用户
114147715,2,0,0.0,87,2,一般用户
124926433,1,0,0.0,1489,1,高价值核心用户
115226000,2,11,707.22,144,2,一般用户
10131505,2,0,0.0,202,2,一般用户
117659143,1,7,979.28,1680,1,高价值核心用户
113134393,1,0,0.0,75,1,高价值核心用户
121058789,2,2,71.79,297,2,一般用户
105397406,1,82,4728.01,1079,5,一般用户
118660140,1,1,63.25,50,1,高价值核心用户
123118241,1,12,817.54,133,1,高价值核心用户
108331566,1,0,0.0,88,1,高价值核心用户
120013837,4,0,0.0,309,3,一般用户
123237592,16,25,1524.0,843,3,一般用户
108957791,1,3,343.13,160,1,高价值核心用户
12262752,1,0,0.0,392,1,高价值核心用户
113922474,22,0,0.0,24,3,一般用户
113962885,5,0,0.0,159,3,一般用户
112917606,2,0,0.0,37,2,一般用户
114650712,1,38,2315.64,206,5,一般用户
116217587,1,0,0.0,144,1,高价值核心用户
124016530,1,1,10.0,357,1,高价值核心用户
116746209,1,136,6429.4,1215,0,一般用户
124793990,1,2,310.69,303,1,高价值核心用户
116101597,3,200,5738.03,3260,0,一般用户
129894791,1,1,149.93,1695,1,高价值核心用户
12428085,3,1,10.0,1444,2,一般用户
109410073,3,0,0.0,123,2,一般用户
129177653,1,0,0.0,32,1,高价值核心用户
133933227,1,3,147.09,884,1,高价值核心用户
109687773,2,265,11871.37,933,0,一般用户
126505815,1,0,0.0,4,1,高价值核心用户
128090856,1,1,124.12,605,1,高价值核心用户
136870062,1,25,1342.66,261,1,高价值核心用户
26125683,1,28,2466.78,933,5,一般用户
117973406,1,0,0.0,473,1,高价值核心用户
117903708,1,12,1161.18,1238,1,高价值核心用户
128826910,1,1,133.02,893,1,高价值核心用户
110828957,3,7,636.04,131,2,一般用户
111167137,2,13,827.43,271,2,一般用户
136769457,1,106,5137.09,3147,5,一般用户
118986002,1,7,825.93,914,1,高价值核心用户
114157234,3,0,0.0,270,2,一般用户
124546232,1,31,1704.48,268,1,高价值核心用户
29524082,1,13,555.25,1018,1,高价值核心用户
126768074,1,16,1297.04,344,1,高价值核心用户
114515435,3,236,8558.94,884,0,一般用户
130638372,1,1,144.06,119,1,高价值核心用户
129489291,1,9,961.41,1710,1,高价值核心用户
134979241,13,1,272.25,83,3,一般用户
128108757,1,7,767.89,645,1,高价值核心用户
137359772,1,2,254.03,106,1,高价值核心用户
16788720,1,3,284.9,1442,1,高价值核心用户
123006863,4,0,0.0,988,3,一般用户
117489231,5,0,0.0,5,3,一般用户
11917811,1,2,176.54,336,1,高价值核心用户
119949716,3,0,0.0,301,2,一般用户
117396268,1,45,1887.19,960,5,一般用户
132397628,1,31,1689.62,386,1,高价值核心用户
121006999,1,6,534.51,489,1,高价值核心用户
2967122,1,1,17.02,367,1,高价值核心用户
124729533,1,10,402.97,114,1,高价值核心用户
126685028,1,1,109.57,357,1,高价值核心用户
30590613,6,0,0.0,219,3,一般用户
129675564,4,0,0.0,236,3,一般用户
133789905,3,0,0.0,203,2,一般用户
31735497,1,204,4393.89,1590,0,一般用户
134060411,9,0,0.0,169,3,一般用户
126940947,1,5,437.55,193,1,高价值核心用户
136227449,1,1,26.45,411,1,高价值核心用户
118960775,5,1,179.84,689,3,一般用户
134097431,1,1,217.25,421,1,高价值核心用户
125039447,1,3,53.68,272,1,高价值核心用户
129527037,1,11,761.89,443,1,高价值核心用户
21973088,2,64,5133.74,474,5,一般用户
125409680,13,0,0.0,5,3,一般用户
125547509,1,5,239.35,825,1,高价值核心用户
138843810,1,1,98.92,1863,1,高价值核心用户
134352095,1,3,375.47,267,1,高价值核心用户
22410346,1,0,0.0,155,1,高价值核心用户
129646723,1,0,0.0,247,1,高价值核心用户
13444072,1,4,281.13,184,1,高价值核心用户
1619789,2,0,0.0,242,2,一般用户
